id	version	q1.food	q2.water	q3.rest.dis	q4.therm.dis	q5.res.mov	q6.injury	q7.disease	q8.pain	q9.norm.behav	q10.other.behav	q11.neg.affect	q12.pos.affect	confidence	origin	categ																																																				
R_wLsJ0Vj2Wn1hQXL	4	6	3	2	3	2	4	6	1	3	2	4	4	4	d	red.m																																																				
R_8uZLC7s7NvLhXdn	4	3	2	5	2	3	6	4	6	1	6	5	5	4	d	red.m																																																				
R_SJLpwmKwX4X8slX	4	6	4	6	4	6	6	6	7	6	6	6	6	3	d	red.m																																																				
R_1P76UUmKJr8hoPp	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d	red.m																																																				
R_p6tUpQ9XjKQ7z5D	1	1	1	1	2	1	2	2	1	1	1	2	1	5	b	rep.calf																																																				
R_2c24W8xGxA18Ubl	1	1	1	2	2	5	1	1	1	4	2	2	3	3	b	rep.calf																																																				
R_1DqDnRoTRM1AJgk	1	2	2	3	5	1	2	3	2	2	1	2	2	4	b	rep.calf																																																				
R_3EtAzFGFTkbOMld	1	2.5	2	2	4	1	2	2	3	2	2	3	2	4	b	rep.calf																																																				
R_6f1zX9VCxcmJ26Z	1	2	1	2	2	1	2	2	5	2	1	2	2	5	b	rep.calf																																																				
R_xyjgLiggbmUUylj	1	1	1	1	2	2	2	2	2	2	4	2	2	2	b	rep.calf																																																				
R_3mlQnj8I8d8QvCS	1	1	1	6	2	2	2	2	2	2	1	2	2	4	b	rep.calf																																																				
R_3FP9Uon1haBJ9Pn	1	1	1	1	2	1	1	2	1	1	1	2	1	4	b	rep.calf																																																				
R_2cw5wplYk1Fay5D	1	1	1	1	2	1	2	2	2	1	1	1	1	4	b	rep.calf																																																				
R_BA3MJVkrEivQzKN	1	2	2	2	3	2	2	2	2	2	2	2	2	3	b	rep.calf																																																				
R_9Fwj5KgDsU241Vv	1	2	2	3	5	3	3	4	4	4	3	3	3	2	b	rep.calf																																																				
R_1Fb7QsWMRzEL1Dz	1	4	3	2	4	2	2	3	4	2	2	3	3	5	b	rep.calf																																																				
R_3fwtjTkCSATUi7W	1	2	2	2	3	1	1	2	3	2	1	2	2	5	b	rep.calf																																																				
R_25yJwdqRcy1lLDL	1	2	2	3	4	2	3	2	2	2	2	3	3	4	b	rep.calf																																																				
R_12J8mTiQQhjADnp	1	2	2	2	3	2	2	2	2	2	2	2	2	5	b	rep.calf																																																				
R_2eaQZYlGhshonY9	1	1	1	1	2	1	2	2	2	1	1	2	1	5	b	rep.calf																																																				
R_3EAn1cnHql4bkUM	2	1	3	2	4	1	2	4	4	2	2	3	3	5	b	rep.calf																																																				
R_DdBOruQbogui7ap	2	1	1	2	3	1	1	2	2	1	1	2	2	5	b	rep.calf																																																				
R_3qqYZEr2bErmgHU	2	1	1	1	2	1	1	2	4	1	1	4	1	5	b	rep.calf																																																				
R_2wB9mquI7hXwnji	2	5	1	1	3	1	2	2	2	1	1	1	1	5	b	rep.calf																																																				
R_1od4UIhFj0lpD98	2	1	1	1	1	1	1	1	1	1	1	1	1	5	b	rep.calf																																																				
R_24AvPnmtMsxd2Rs	2	3	5	3	4	2	3	3	4	2	1	3	2	4	b	rep.calf																																																				
R_3FUxMVDjBaaFl0Q	2	1	1	2	3	2	4	2	4	2	5	3	4	4	b	rep.calf																																																				
R_10qhdFD6DXfCoAo	2	2	2	1	3	1	2	2	6	2	2	2	2	3	b	rep.calf																																																				
R_1jUF3d0Crle6TIS	2	2	2	2	4	2	3	3	2	2	2	2	2	4	b	rep.calf																																																				
R_1r6yo1qxQZVuiOO	2	3	4	3	3	2	3	3	4	2	2	3	3	4	b	rep.calf																																																				
R_W3AKNfpPvb8BGzn	2	5	1	1	4	1	7	5	7	1	1	5	1	4	b	rep.calf																																																				
R_2ZHLhFYQqEx9hoS	2	3	1	3	3	4	3	3	3	3	4	3	4	5	b	rep.calf																																																				
R_3GlEx8W9ySCDRdU	2	5	2	2	3	2	2	3	2	2	2	2	2	4	b	rep.calf																																																				
R_2EgSAOztzsBHzrD	2	2	2	2	3	1	2	2	3	1	1	2	2	5	b	rep.calf																																																				
R_2BboHMYMIvBrldB	2	3	1	3	3	3	3	3	3	3	3	3	4	4	b	rep.calf																																																				
R_3R93J87oMj56oGk	2	3	2	3	4	4	3	3	7	3	2	3	3	4	b	rep.calf																																																				
R_3iVFMG5FpActOmI	2	1	2	1	2	1	1	4	5	1	1	1	1	4	b	rep.calf																																																				
R_3NP3YJgpOD2Aieo	3	1	1	1	3	1	1	3	3	1	1	3	2	5	b	rep.calf																																																				
R_3EsDQMtCoovYb0c	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	b	rep.calf																																																				
R_8BaZEtzALcB7tDP	3	2	3	3	2	4	3	3	6	3	4	3	3	3	b	rep.calf																																																				
R_SJcsQO0rhhHesxz	3	2	2	2	3	3	3	2	2	1	1	1	2	5	b	rep.calf																																																				
R_33DrtwdUrnQRDk9	3	1	1	1	1	1	1	1	1	1	1	1	1	5	b	rep.calf																																																				
R_322x7bkZvTtB4RM	3	1	2	1	2	1	2	2	7	1	1	3	1	4	b	rep.calf																																																				
R_2B9AqctUCavJZnr	3	2	2	2	2	2	2	2	2	2	2	2	2	3	b	rep.calf																																																				
R_2AThK0ypdznN22o	3	1	1	1	2	1	1	1	1	1	1	2	1	5	b	rep.calf																																																				
R_5C6RdnjBcMIpB5L	3	2	1	1	6	1	3	4	5	1	1	2	2	2	b	rep.calf																																																				
R_3JgDxLQGZ06U9tk	3	5	4	4	6	4	4	4	6	4	4	5	4	3	b	rep.calf																																																				
R_10GwBf8xQR0cr8h	3	6	4	4	4	3	3	3	3	3	6	4	6	2	b	rep.calf																																																				
R_1g89TflcmEq5dyW	3	4	4	5	6	5	4	4	6	5	5	5	6	3	b	rep.calf																																																				
R_6xRxRoMMEyuM5y1	3	2	2	1	2	2	2	2	3	3	2	2	2	4	b	rep.calf																																																				
R_1CfLlEXlcLwcKCA	3	1	1	1	1	1	1	1	2	1	1	1	1	4	b	rep.calf																																																				
R_urE3aBaJrepGdmF	3	3	3	2	5	4	3	5	6	2	2	4	4	2	b	rep.calf																																																				
R_3D5Dfp9dK7wkK8n	3	1	2	1	3	1	1	2	2	1	1	1	1	3	b	rep.calf																																																				
R_3Dc0ailmijra0bu	3	2	2	2	2	2	2	2	7	1	2	2	2	3	b	rep.calf																																																				
R_30pjztGP5OEKaFS	3	2	3	2	2	1	2	3	2	2	2	2	2	3	b	rep.calf																																																				
R_2TtPSAdmUztT7wL	3	1	1	1	2	1	2	2	3	1	2	2	2	3	b	rep.calf																																																				
R_UJuQ2MPz1AApbY5	3	3	3	3	1	3	3	2	2	3	2	2	4	2	b	rep.calf																																																				Animal management expert
R_0Pw4SJH7Rmy4GAh	4	7	7	7	6	7	6	7	6	7	6	7	6	4	b	rep.calf																																																				
R_af1DrCKPNZbG4Zr	4	2	3	4	5	1	1	2	6	1	1	5	1	4	b	rep.calf																																																				
R_TuBpgV2dDwtQ1Jn	4	1	1	2	2	3	2	3	2	3	3	2	2	1	b	rep.calf																																																				
R_1Lhbp5lsxdTp4Xh	4	4	4	4	6	4	4	4	5	4	3	5	5	4	b	rep.calf																																																				
R_32WTW3i3e1AcfJj	4	2	1	2	3	3	2	2	4	2	2	3	4	4	b	rep.calf																																																				
R_2X4gv5JfatTuCHj	4	1	1	1	2	1	1	1	4	1	1	3	1	5	b	rep.calf																																																				
R_d7ilf18tbKr7ddv	4	1	2	2	3	1	1	3	4	1	1	2	1	4	b	rep.calf																																																				
R_3sh8WYaTYtmA54s	4	2	2	2	4	1	2	3	3	2	2	3	2	4	b	rep.calf																																																				
R_3QVJhduPxthkl0G	4	3	1	2	4	2	2	2	1	2	2	2	2	3	b	rep.calf																																																				
R_2Ym7AwqfCagMAZJ	4	2	2	2	2	2	2	3	2	2	2	2	2	4	b	rep.calf																																																				
R_1LG5JfAQifGKUuO	4	1	1	1	5	1	2	2	2	1	1	4	1	4	b	rep.calf																																																				
R_2vY58O2e0m6LTo0	4	2	1	1	1	2	1	1	1	1	1	1	1	5	b	rep.calf																																																				
R_A0BOXJFQzTAtxYJ	4	1	1	1	3	1	1	2	3	1	1	3	1	4	b	rep.calf																																																				
R_wLsJ0Vj2Wn1hQXL	4	3	3	1	2	1	2	2	1	1	1	3	1	4	b	rep.calf																																																				
R_8uZLC7s7NvLhXdn	4	3	2	2	2	2	2	3	2	2	2	2	2	1	b	rep.calf																																																				
R_SJLpwmKwX4X8slX	4	4	3	5	4	5	4	4	7	4	4	4	4	2	b	rep.calf																																																				
R_1P76UUmKJr8hoPp	4	1	1	1	1	1	1	2	1	1	1	1	1	5	b	rep.calf																																																				
R_p6tUpQ9XjKQ7z5D	1	1	1	1	2	1	2	2	1	1	5	2	1	5	d	rep.calf																																																				
R_2c24W8xGxA18Ubl	1	4	2	2	2	5	1	1	2	4	2	2	3	3	d	rep.calf																																																				
R_1DqDnRoTRM1AJgk	1	6	2	3	3	2	2	5	6	3	3	3	4	4	d	rep.calf																																																				
R_3EtAzFGFTkbOMld	1	3	1.5	3	4	4	3	5	3	4	4	4	4	4	d	rep.calf																																																				
R_6f1zX9VCxcmJ26Z	1	3	2	2	3	5	2	2	3	5	4	3	5	5	d	rep.calf																																																				
R_xyjgLiggbmUUylj	1	4	1	2	2	2	2	4	5	3	4	3	4	4	d	rep.calf																																																				
R_3mlQnj8I8d8QvCS	1	2	1	3	2	2	2	2	2	4	2	2	2	4	d	rep.calf																																																				
R_3FP9Uon1haBJ9Pn	1	2	1	1	2	3	1	2	1	3	3	3	3	4	d	rep.calf																																																				
R_2cw5wplYk1Fay5D	1	2	1	1	2	2	2	3	2	1	1	1	1	4	d	rep.calf																																																				
R_BA3MJVkrEivQzKN	1	2	2	2	3	4	2	2	2	4	5	4	5	3	d	rep.calf																																																				
